"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"47","384.3B23ACF41B",2016-03-06 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOSEPC(R),JOC(O)","JOC","4/22/2016 8:37:36","JOC"
"48","384.3B23ACF677",2016-02-28 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOSEPC(R),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","3/22/2016 7:00:00","JOC"
"49","384.3B23ACF791",2016-04-14 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/14/2016 12:28:14","JOC"
"50","384.3B23ACF7B1",2016-04-09 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/9/2016 16:18:00","JOC"
"51","384.3B23ACF982",2016-03-22 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/23/2016 5:14:46","JOC"
"52","384.3B23ACFA96",2016-03-22 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","3/22/2016 7:00:00","JOC"
"53","384.3B23ACFAAE",2016-04-05 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/5/2016 15:15:14","JOC"
"54","384.3B23ACFBF8",2016-04-08 09:15:16,7,"Lapwai","SWT","SWTA0","GRA, LAPB0, LAPA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, MISA0, MISB0, SWTB0, SWTA0, SWTB0","GRA(O),LAP(O),MIS(O),MIS(O),MIS(O),MIS(O),MIS(O),MIS(O),MIS(O),MIS(O),MIS(O),SWT(O)","SWT","4/8/2016 9:27:09","MIS"
"55","384.3B23ACFE2A",2016-04-18 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/18/2016 17:59:01","JOC"
"56","384.3B23ACFEAD",2016-03-26 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/26/2016 16:47:18","JOC"
"57","384.3B23AD0154",2016-04-10 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/10/2016 18:07:17","JOC"
