"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"WEBBC","GRA.Clearwater.Lapwai.LAP.SWT.WEB.WEBBC","GRA","Clearwater","Lapwai","LAP","SWT","WEB","WEBBC","","","",""
"JUL","GRA.Clearwater.Potlatch.JUL","GRA","Clearwater","Potlatch","JUL","","","","","","",""
"BOBSC","GRA.Clearwater.Potlatch.JUL.BOBSC","GRA","Clearwater","Potlatch","JUL","BOBSC","","","","","",""
"BOUL3C","GRA.Clearwater.Potlatch.JUL.BOUL3C","GRA","Clearwater","Potlatch","JUL","BOUL3C","","","","","",""
"CEDA2C","GRA.Clearwater.Potlatch.JUL.CEDA2C","GRA","Clearwater","Potlatch","JUL","CEDA2C","","","","","",""
"CORRAC","GRA.Clearwater.Potlatch.JUL.CORRAC","GRA","Clearwater","Potlatch","JUL","CORRAC","","","","","",""
"LBOULC","GRA.Clearwater.Potlatch.JUL.LBOULC","GRA","Clearwater","Potlatch","JUL","LBOULC","","","","","",""
"LEOPOC","GRA.Clearwater.Potlatch.JUL.LEOPOC","GRA","Clearwater","Potlatch","JUL","LEOPOC","","","","","",""
"MPOTLC","GRA.Clearwater.Potlatch.JUL.MPOTLC","GRA","Clearwater","Potlatch","JUL","MPOTLC","","","","","",""
"PIVASC","GRA.Clearwater.Potlatch.JUL.PIVASC","GRA","Clearwater","Potlatch","JUL","PIVASC","","","","","",""
"POTR","GRA.Clearwater.Potlatch.JUL.POTR","GRA","Clearwater","Potlatch","JUL","POTR","","","","","",""
"POTREF","GRA.Clearwater.Potlatch.JUL.POTREF","GRA","Clearwater","Potlatch","JUL","POTREF","","","","","",""
"KHS","GRA.Clearwater.Potlatch.JUL.KHS","GRA","Clearwater","Potlatch","JUL","KHS","","","","","",""
"LBEARC","GRA.Clearwater.Potlatch.JUL.KHS.LBEARC","GRA","Clearwater","Potlatch","JUL","KHS","LBEARC","","","","",""
"LBCWF","GRA.Clearwater.Potlatch.JUL.KHS.LBCWF","GRA","Clearwater","Potlatch","JUL","KHS","LBCWF","","","","",""
"BBA","GRA.Clearwater.Potlatch.JUL.KHS.BBA","GRA","Clearwater","Potlatch","JUL","KHS","BBA","","","","",""
"BIGBEC","GRA.Clearwater.Potlatch.JUL.KHS.BBA.BIGBEC","GRA","Clearwater","Potlatch","JUL","KHS","BBA","BIGBEC","","","",""
"HLM","GRA.Clearwater.Potlatch.JUL.HLM","GRA","Clearwater","Potlatch","JUL","HLM","","","","","",""
"COUG2C","GRA.Clearwater.Potlatch.JUL.HLM.COUG2C","GRA","Clearwater","Potlatch","JUL","HLM","COUG2C","","","","",""
"FEATHC","GRA.Clearwater.Potlatch.JUL.HLM.FEATHC","GRA","Clearwater","Potlatch","JUL","HLM","FEATHC","","","","",""
"MOOS3C","GRA.Clearwater.Potlatch.JUL.HLM.MOOS3C","GRA","Clearwater","Potlatch","JUL","HLM","MOOS3C","","","","",""
"POTRWF","GRA.Clearwater.Potlatch.JUL.HLM.POTRWF","GRA","Clearwater","Potlatch","JUL","HLM","POTRWF","","","","",""
"PURDUC","GRA.Clearwater.Potlatch.JUL.HLM.PURDUC","GRA","Clearwater","Potlatch","JUL","HLM","PURDUC","","","","",""
"PCM","GRA.Clearwater.Potlatch.JUL.PCM","GRA","Clearwater","Potlatch","JUL","PCM","","","","","",""
"PINE2C","GRA.Clearwater.Potlatch.JUL.PCM.PINE2C","GRA","Clearwater","Potlatch","JUL","PCM","PINE2C","","","","",""
